Tibetan	Description
དགུན་དུས་	Winter time [e:Winter time  
དགུན་སྨད་	Later winter; 12th and 1st Tibetan lunar months when the weather becomes colder [e:Later winter; 12th and 1st Tibetan lunar months when the weather becomes colder  
དགེ་བ་	Virtuous act, merit [e:Virtuous act, merit     
དགེ་སྦྱོང་	༼grm=lit༽ Practioners of virtue; a general name for all ordained monks and nuns [e:༼grm=lit༽ Practioners of virtue; a general name for all ordained monks and nuns     
དགོ་བ་	Tibetan gazelle, Procapra Picticaudata Hodgsons [e:Tibetan gazelle, Procapra Picticaudata Hodgsons  
དགྲ་	Enemy, foe; It is one of the elemental relationships [e:Enemy, foe; It is one of the elemental relationships ( མ་བུ་ད་དོཀ ) དགྲ་བཅོམ་པ The destroyer of four enemies   ༼m1༽ Sons of minor dieties   ༼m2༽ Ignorance/delusion   ༼m3༽ Physical forms; and   ༼m4༽ Lord of death     
དགྲ་ལྷ་	Warrior diety A diety who vanquishes the enemy. [e:Warrior diety A diety who vanquishes the enemy.  
མགོ་	Head [e:Head (the location of satisfying phlegm)     
མགོ་འཁོར་	Vertigo A condition characterised by sensation that the patient or his/her surroundings are revolving. [e:Vertigo A condition characterised by sensation that the patient or his/her surroundings are revolving.  
མགོ་ནད་	Diseases of the head [e:Diseases of the head  
མགོ་ཟླ་བ་	Maghsar; the eleventh month of a lunar calendar [e:Maghsar; the eleventh month of a lunar calendar  
མགུལ་འགགས་	Obstruction of throat མགོན་པོ 1. མགོན་པོ་སྤྱེན་རས་གཟིགས -the Buddha of compassion) 2. Name of one of the Buddhist dieties [e:Obstruction of throat མགོན་པོ 1. མགོན་པོ་སྤྱེན་རས་གཟིགས -the Buddha of compassion) 2. Name of one of the Buddhist dieties  
མགྱོགས་ཚད་	Velocity [e:Velocity  
མགྲིན་པའི་འཁོར་ལོ་	Throat wheel; chakra of the throat [e:Throat wheel; chakra of the throat  
འགྲམ་སོ་	Molars [e:Molars (20 out of   ༼m32༽ human teeths are molars)     
འགྲམས་ཚད་	Ksata-ksaya Spreading heat disorder, spreading fever, dispersed fever, [e:Spreading heat disorder, spreading fever, dispersed fever, ༼sk= Ksata-ksaya༽  
རྒྱ་ཁུར་	༼en=༽ Snow thistle ༼bot=༽ Sonchus Arvensis/picris hieracioides Uses: It cures brown phlegm, chronic fever and poisoning. [e:༼en=༽ Snow thistle ༼bot=༽ Sonchus Arvensis/picris hieracioides Uses: It cures brown phlegm, chronic fever and poisoning.  
རྒྱ་ཏིག་	Kalamegha ༼hn=༽ Kalmegh ༼en=༽ Indian Gentian Family: Acanthaceae ༼bot=༽ Andrographis paniculata [e:༼sk= Kalamegha༽ ༼hn=༽ Kalmegh ༼en=༽ Indian Gentian Family: Acanthaceae ༼bot=༽ Andrographis paniculata Taste: Bitter Potency: Cool Uses: It is a known remedy against malarial fevers, gout, worms, stomachal ailmremts, subside all kinds of bile fever and stimulate sluggish liver.  
རྒྱ་མེན་མེ་ཏོག་	Ahiphina . ༼bot=༽ Papaver Somniferum Linn [e:༼sk= Ahiphina༽. ༼bot=༽ Papaver Somniferum Linn Taste: Sweet to astringent Potency: Cool to heavy Uses: It is useful for treating upper back ache, disorder due to disturbed blood and pain.  
རྒྱ་རྩིས་	Chinese Astrology [e:Chinese Astrology  
རྒྱ་མཚོ་རྣམ་གསུམ་	༼grm=lit༽ three different oceans; refers to the three great scholars of Tibetan Astrology: ༼m1༽ Tsangchung Choedak Gyatso ༼m2༽ Phugpa Lhundup Gyatso [e:༼grm=lit༽ three different oceans; refers to the three great scholars of Tibetan Astrology:   ༼m1༽ Tsangchung Choedak Gyatso   ༼m2༽ Phugpa Lhundup Gyatso   ༼m3༽ Khedup Norsang Gyatso  
རྒྱ་མཚོའི་ལྦུ་བ་	Samundhar Jug. ༼en=༽ Cuttle bone, cuttle fish, sea form ༼bot=༽ Sepia esculenta [e:༼sk= Samundhar༽ Jug. ༼en=༽ Cuttle bone, cuttle fish, sea form ༼bot=༽ Sepia esculenta  
རྒྱལ་	Pushyami, Castor; one of the [e:Pushyami, Castor; one of the   ༼m27༽ constellations     
རྒྱལ་ཆེན་རིགས་བཞི་	The four great kings ༼m1༽ ཡུལ་འཁོར་སྲུང -Defender of the area, ༼m2༽ འཔབགས་སྐྱེས་བུ -Noble birth ༼m3༽ སྤྱན་མི་བཟང -Ugly eyes [e:The four great kings   ༼m1༽ ཡུལ་འཁོར་སྲུང -Defender of the area,   ༼m2༽ འཔབགས་སྐྱེས་བུ -Noble birth   ༼m3༽ སྤྱན་མི་བཟང -Ugly eyes   ༼m4༽ རྣམ་ཐོས་སྲས -God of wealth  
རྒྱལ་པོ་	 ༼m1༽ King [e:  ༼m1༽ King   ༼m2༽ Male king spirits     
རྒྱལ་བློན་	༼grm=lit༽ king and minister It is often used in elemental horoscope where the king ( རྒྱལ་པ ) represents a year and the minister [e:༼grm=lit༽ king and minister It is often used in elemental horoscope where the king ( རྒྱལ་པ ) represents a year and the minister ( བློན་པོ ) a month  
རྒྱལ་མོ་	 [e:  ༼m1༽ Pupil (of the eyes)   ༼m2༽ Queen     
རྒྱས་པའི་རྒྱུ་	Expanding causes [e:Expanding causes     
རྒྱས་ཚད་	Developing heat disorder, extreme fever [e:Developing heat disorder, extreme fever  
རྒྱས་པ་	Matured/expand [e:Matured/expand     
རྒྱུ་	Primary cause [e:Primary cause (an action which produces a result or effect)     
རྒྱུ་སྐར་	༼grm=lit༽ the moving stars; constellation, lunar mansion, nakshatra [e:༼grm=lit༽ the moving stars; constellation, lunar mansion, nakshatra     
རྒྱུ་རྐྱེན་	Cause and condition [e:Cause and condition     
རྒྱུ་བ་	To circulate; to move [e:To circulate; to move (moving energy)     
རྒྱུ་མ་	Small intestine [e:Small intestine     
རྒྱུ་རྩ་	༼grm=lit༽ intestinal channel; [e:༼grm=lit༽ intestinal channel; (blood letting) veins extending from soles of the feet  
རྒྱུ་ཚད་	Fever of the small intestine, Duodenum fever [e:Fever of the small intestine, Duodenum fever (the first part of the small intestine following the outlet from the stomach and containing the pancreatic and common bile ducts)  
རྒྱུ་རླུགས་	Scrotal hernia [e:Scrotal hernia  
རྒྱུ་ལམ་	Channel of circulation, specific pathways of the three humours [e:Channel of circulation, specific pathways of the three humours     
རྒྱུ་གཟེར་	Shooting pains in the small intestine, Intestinal infection such as colitis, intestinal spasm [e:Shooting pains in the small intestine, Intestinal infection such as colitis, intestinal spasm  
རྒྱུད་	Continuum [e:Continuum     
རྒྱུད་སྡེ་བཞི་	Four Classes of Tantras /. Kriya Tantra (Action Tantra)- བྱ་རྒྱུད 2. Carya Tantra (Performance Tantra)- སྤྱོད་རྒྱུད J. Yoga Tantra (Union Tantra)- རྣལ་འབྱོར་རྒྱུད 4. Anuttarayoga Tantra [e:Four Classes of Tantras /. Kriya Tantra (Action Tantra)- བྱ་རྒྱུད 2. Carya Tantra (Performance Tantra)- སྤྱོད་རྒྱུད J. Yoga Tantra (Union Tantra)- རྣལ་འབྱོར་རྒྱུད 4. Anuttarayoga Tantra (Highest Yoga Tantra)- རྣལ་འབྱོར་བླ་ན་མེད་པའི་རྒྱུད  
རྒྱུད་སྡེ་རིན་པོ་ཆེ་	The precious Tantric Treatise [e:The precious Tantric Treatise  
རྒྱུས་པ་	Tendons [e:Tendons     
ལྒང་པ་	Urinary bladder [e:Urinary bladder  
སྒ་སྐྱ་	༼hn=༽ Adarakh/ Shunti ༼bot=༽ Zingiber Officinalis Roscoe [e:༼hn=༽ Adarakh/ Shunti ༼bot=༽ Zingiber Officinalis Roscoe Taste: Hot Potency: Warm Uses: It is used against impaired digestive heat, indigestion and combined disorders of བད་ཀན and རླུང . It is also useful in the cleansing of blood and in the rejuvenation of the nutritive vessels.  
སྒ་ཏིག་སྨུག་པོ་	༼bot=༽ Androsace sp. [e:༼bot=༽ Androsace sp. Taste: Bitter Potency: Cool to coarse Uses: See སྒ་ཏིག་ཁྲ་བོ  
སྒ་སྨུག་	Shunthi ༼hn=༽ Adrak ༼en=༽ Ginger ༼bot=༽ Zingiber officinale [e:༼sk= Shunthi༽ ༼hn=༽ Adrak ༼en=༽ Ginger ༼bot=༽ Zingiber officinale Taste: Hot Potency: Warm Uses: It is use against vomiting, diarrhoea, distension and rumbling sound in the stomach, formation of sputum and mucus in chest and the stomach, combined disorders of བད་ཀན and རླུང། retention of menstrual blood, digestive problems, impotency and weak bodily heat. It reduces toxicity of some herbs and is a good circulatory stimulant.  
སྒ་དམར་	༼hn=༽ Barakulinjan/ Rasna ༼bot=༽ Alpinia galanga Willd [e:༼hn=༽ Barakulinjan/ Rasna ༼bot=༽ Alpinia galanga Willd  
སྒ་སེར་	Haridra ༼hn=༽ Haldi ༼en=༽ Turmeric Family: Zingiberaceae ༼bot=༽ Curcuma longa [e:༼sk= Haridra༽ ༼hn=༽ Haldi ༼en=༽ Turmeric Family: Zingiberaceae ༼bot=༽ Curcuma longa Taste: Hot to bitter Potency: Cool Uses: It is used against daibetes, piles, respiratory infections, poisoning, necrosis, and to subside infectious fever.  
སྒབ་རྩ་	Popliteal veins [e:Popliteal veins (Blood letting point)  
སྒལ་ཚིགས་	Vertebrae, Vertibral column སྒུར་པོ Hunchbacked, spinal deformity [e:Vertebrae, Vertibral column སྒུར་པོ Hunchbacked, spinal deformity  
སྒོ་	Gate, door [e:Gate, door     
སྒོ་ལྔའི་རྣམ་ཤེས་	The consciousness of the five senses [e:The consciousness of the five senses (sight, hearing, smell, taste and touch)  
སྒོག་སྐྱ་	Rasona ༼hn=༽ Lasan ༼en=༽ Garlic ༼bot=༽ Allium Sativum [e:༼sk= Rasona༽ ༼hn=༽ Lasan ༼en=༽ Garlic ༼bot=༽ Allium Sativum Taste: Hot Potency: Warm Uses: It is useful for treating wide range of diseases-rheumatism; combined disorders of བད་ཀན and རླུང ; for the lung as an expectorant and powerful decongestant; for the heart to lower blood pressure and reduce high cholesterol; for the stomach as an anthelmintic that expels worms; for gynaecological problems, to ease flow of menstruation and promotes appetite and induces sleep. Modern study has shown that garlic is an antiviral, antibiotic and antifungal in cases of tuberculosis and meningitis.  
སྒོག་སྔོན་	༼en=༽ Leek [e:༼en=༽ Leek Taste: Slight hot to sweet Potency: Warm Uses: It is used against tumours, རླུང diseases, diptheria, disorders associated with microorganisms, and promotes sleep, digestion and bodily heat.  
སྒོག་པ་	༼en=༽ Garlic ༼bot=༽ Allium Sativum Linn [e:༼en=༽ Garlic ༼bot=༽ Allium Sativum Linn Taste: Hot Potency: Warm Uses: See སྒོག་སྐྱ  
སྒོང་ཐོག་པ་	༼bot=༽ Erysimum sp. [e:༼bot=༽ Erysimum sp. Taste: Sweet to bitter Potency: Cool Uses: It is used as an antidote to meat poisoning, controls fever associated with chronic diseases, disturbed fever, and cures weakened lungs and heart diseases.  
སྒོམ་སྒྲུབ་	Practice of meditation [e:Practice of meditation  
སྒྱུ་མའི་ལུས་	Illusory body [e:Illusory body  
སྒྱེད་བུ་	Hearth; which is one of the astrologer's soul stones [e:Hearth; which is one of the astrologer's soul stones  
སྒྲ་གཅན་	Dragon's head, Rahu, ascending moon node སྒྲ་གཅན་གྱི་མཇུག The tail of Dachen or Ketu [e:Dragon's head, Rahu, ascending moon node སྒྲ་གཅན་གྱི་མཇུག The tail of Dachen or Ketu (descending moon node)  
སྒྲེགས་	Belching or frequent eruction [e:Belching or frequent eruction  
སྒྲོག་རུས་	Collar bone, Clavicles [e:Collar bone, Clavicles  
བརྒྱལ་གཟེར་	Epileptic fits. Epilepsy A disorder of the brain characterised by convulsions and psychic dysfunction. [e:Epileptic fits. Epilepsy A disorder of the brain characterised by convulsions and psychic dysfunction.  
ངོ་ཁབས་	Pregnancy mask and other skin disorders A skin disease in which the face gets covered with whitish colour [e:Pregnancy mask and other skin disorders A skin disease in which the face gets covered with whitish colour  
ངོ་མཚར་རྩ་བདུན་	The seven wonderful pulses The seven wonderful pulse is used as a means of divination in Tibetan medicine. It can only be examined in a healthy person. The seven wonderful pulses are: ༼m1༽ ཁྱིམ་ཕྱ (Family Pulse) ༼m2༽ འགྲོན་འཕྱ (Guest Pulse) ༼m3༽ དགྲ་ཕྱ (Enemy Pulse) ༼m4༽ གྲོགས་ཕྱ (Friend Pulse) ༼m5༽ གདོན་ཕྱ (Evil Spirit Pulse ༼m6༽ མེ་ཆུ་གོ་ལྡོག (Substitutional Pulse) [e:The seven wonderful pulses The seven wonderful pulse is used as a means of divination in Tibetan medicine. It can only be examined in a healthy person. The seven wonderful pulses are:   ༼m1༽ ཁྱིམ་ཕྱ (Family Pulse)   ༼m2༽ འགྲོན་འཕྱ (Guest Pulse)   ༼m3༽ དགྲ་ཕྱ (Enemy Pulse)   ༼m4༽ གྲོགས་ཕྱ (Friend Pulse)   ༼m5༽ གདོན་ཕྱ (Evil Spirit Pulse   ༼m6༽ མེ་ཆུ་གོ་ལྡོག (Substitutional Pulse)   ༼m7༽ བུ་རྩ (Pregnancy Pulse)  
